CATEGORY_CD|CATEGORY_NM|API_PATH|PARENT_CD|DEPTH_LEVEL|LAST_DEPTH_YN|COLLECTION_CYCLE|COLLECTION_TYPE
03020103040600|Suezmax Trading Fleet Growth||03020103040000|06|Y|Y,Q,M|C
03020103050000|Aframax Tanker||03020103000000|05|N||
03020103050100|Fleet Development - Russian-Owned Aframax (85-124,999 dwt) Crude Tankers||03020103050000|06|Y|Y,Q,M|C
03020103050200|Aframax Product Tanker Fleet Development||03020103050000|06|Y|Y,Q,M|C
03020103050300|Aframax Product Tanker Fleet Growth||03020103050000|06|Y|Y,Q,M|C
03020103050400|LR2 Trading Fleet||03020103050000|06|Y|Y,Q,M|C
03020103050500|LR2 Trading Fleet Growth||03020103050000|06|Y|Y,Q,M|C
03020103050600|Aframax Double Hull Tanker Fleet Development||03020103050000|06|Y|Y,Q,M|C
03020103050700|Aframax Tanker Fleet Development||03020103050000|06|Y|Y,Q,M|C
03020103050800|Crude Aframax Fleet Development||03020103050000|06|Y|Y,Q,M|C
03020103050900|Crude Aframax Fleet Growth||03020103050000|06|Y|Y,Q,M|C
03020103051000|Crude Aframax Trading Fleet||03020103050000|06|Y|Y,Q,M|C
03020103051100|Crude Aframax Trading Fleet Growth||03020103050000|06|Y|Y,Q,M|C
03020103060000|Panamax Tanker||03020103000000|05|N||
03020103060100|LR1 Trading Fleet||03020103060000|06|Y|Y,Q,M|C
03020103060200|LR1 Trading Fleet Growth||03020103060000|06|Y|Y,Q,M|C
03020103060300|Panamax Product Tanker Fleet Development||03020103060000|06|Y|Y,Q,M|C
03020103060400|Panamax Product Tanker Fleet Growth||03020103060000|06|Y|Y,Q,M|C
03020103060500|Panamax Double Hull Tanker Fleet Development||03020103060000|06|Y|Y,Q,M|C
03020103060600|Panamax Tanker Fleet Development||03020103060000|06|Y|Y,Q,M|C
03020103070000|Handysize Tanker||03020103000000|05|N||
03020103070100|Handysize Product Tanker Fleet Development||03020103070000|06|Y|Y,Q,M|C
03020103070200|Handysize Double Hull Tanker Fleet Development||03020103070000|06|Y|Y,Q,M|C
03020103070300|Handysize Product Tanker Trading Fleet||03020103070000|06|Y|Y,Q,M|C
03020103070400|Handysize Product Tanker Trading Fleet Growth||03020103070000|06|Y|Y,Q,M|C
03020103070500|Handysize Tanker Fleet Development||03020103070000|06|Y|Y,Q,M|C
03020103080000|Small Tankers||03020103000000|05|N||
03020103080100|Small Double Hull Tanker Fleet Development||03020103080000|06|Y|Y,Q,M|C
03020103080200|Small Tankers Fleet Development||03020103080000|06|Y|Y,Q,M|C
03020104000000|Chemical Tankers||03020100000000|04|N||
03020104010000|Handy Chemical Tanker Fleet Development||03020104000000|05|Y|Y,Q,M|C
03020104020000|Total IMO I Tanker Fleet Development (1,000 dwt+)||03020104000000|05|Y|Y,Q,M|C
03020104030000|Total IMO II Tanker Fleet Development (1,000 dwt+)||03020104000000|05|Y|Y,Q,M|C
03020104040000|Total IMO III Tanker Fleet Development (1,000 dwt+)||03020104000000|05|Y|Y,Q,M|C
03020104050000|Total IMO-Graded (Unknown Grade) Tanker Fleet Development||03020104000000|05|Y|Y,Q,M|C
03020105000000|Combined Carriers||03020100000000|04|N||
03020105010000|Capesize 120K-160K DWT Combined Carrier Fleet Development||03020105000000|05|Y|Y,Q,M|C
03020105020000|Capesize 160K+ DWT Combined Carrier Fleet Development||03020105000000|05|Y|Y,Q,M|C
03020105030000|Capesize 80K-120K DWT Combined Carrier Fleet Development||03020105000000|05|Y|Y,Q,M|C
03020105040000|Combos trading in dry||03020105000000|05|Y|Y,Q,M|C
03020105050000|Combos trading in oil||03020105000000|05|Y|Y,Q,M|C
03020105060000|Handysize Combined Carrier Fleet Development||03020105000000|05|Y|Y,Q,M|C
03020105070000|Panamax Combined Carrier Fleet Development||03020105000000|05|Y|Y,Q,M|C
03020105080000|Total Combined Carrier Fleet Development||03020105000000|05|Y|Y,Q,M|C
03020106000000|Bulkers||03020100000000|04|N||
03020106010000|Bulkers General||03020106000000|05|N||
03020106010100|Bulkcarrier Fleet Growth||03020106010000|06|Y|Y,Q,M|C
03020106010200|Total Bulkcarrier Fleet Development||03020106010000|06|Y|Y,Q,M|C
03020106020000|Capesize Bulker||03020106000000|05|N||
03020106020100|Capesize Bulkcarrier Fleet Development||03020106020000|06|Y|Y,Q,M|C
03020106020200|Capesize Fleet Growth||03020106020000|06|Y|Y,Q,M|C
03020106030000|Panamax Bulker||03020106000000|05|N||
03020106030100|Panamax Bulkcarrier Fleet Development||03020106030000|06|Y|Y,Q,M|C
03020106030200|Panamax Fleet Growth||03020106030000|06|Y|Y,Q,M|C
03020106040000|Handymax Bulker||03020106000000|05|N||
03020106040100|Handymax Bulkcarrier Fleet Development||03020106040000|06|Y|Y,Q,M|C
03020106040200|Handymax Fleet Growth||03020106040000|06|Y|Y,Q,M|C
03020106050000|Handysize Bulker||03020106000000|05|N||
03020106050100|Handysize Bulkcarrier Fleet Development||03020106050000|06|Y|Y,Q,M|C
03020106050200|Handysize Fleet Growth||03020106050000|06|Y|Y,Q,M|C
03020107000000|LNG||03020100000000|04|N||
03020107010000|LNG General||03020107000000|05|N||
03020107010100|Fleet Development - Russian-Owned LNG Carriers||03020107010000|06|Y|Y,Q,M|C
03020107010200|LNG Fleet Growth||03020107010000|06|Y|Y,Q,M|C
03020107010300|Steam Turbine LNG Carrier Capacity||03020107010000|06|Y|Y,Q,M|C
03020107010400|Total LNG Fleet Development||03020107010000|06|Y|Y,Q,M|C
03020107020000|LNG 40K+ Cu. M.||03020107000000|05|N||
03020107020100|>140,000 Cu. M. LNG Fleet Development||03020107020000|06|Y|Y,Q,M|C
03020107020200|100-140K Cu. M. LNG Fleet Development||03020107020000|06|Y|Y,Q,M|C
